smiles,ads_ener
CCCN(C)CCCNCCN(C)CCCNC,-0.360837
C1CN2CCC1C(=C2)C3=CN=CC=C3,-1.6139022
OC(C)COC(C)COC(C)CO,-1.3783074
CC1=CC2=C(C=CN=C2CC1)C(C)C,-1.3922738
C1=C(C=NC(=C1Cl)Cl)C(F)(F)F,-0.9281477
CC1=CN=C(C(=C1C)C)C2=CC=CC=N2,-1.3956619
CC(N(C)CCO)O,-1.035227
CCOC(C(C(F)(F)F)F)F,-0.6255105
COCCOCCCOC(=O)C1=NC(=CC=C1)F,-1.3112138
CN(C)C1=CC=C(C=C1)C(=C2C=CC(=C)C=C2)C3=CC=C(C=C3)N(C)C,-3.1608459
CC1CC(NC(=O)C1)OC,-1.2887697
C1=CC=C(C=C1)C(C2=CC=CC=C2)N=CC3=CC=CC=N3,-2.5315588
CCCCCOC(=O)C1=NC(=CC=C1)C(=O)OCC(C)(C)C,-1.9936674
CC1=NC(=C(C=C1)C(F)(F)F)C2=C(N=CC(=C2)C)C(F)(F)F,-1.3003358
C(CF)OC(OCC(F)(F)F)OC(C(F)F)(F)F,-1.3969662
C1CC1CC2=CC=CC=N2,-1.2283709
C1CNC(=O)CC1O,-1.1252066
CCOC(=O)C(C(=O)C)(ON=O)F,-1.7858602
C1=CC2=CC(=CC3=C2C(=C1)C(=O)NC3=O)C4=CC=C(C=C4)F,-1.8938445
C(C(CF)OC(=O)CF)F,-0.7544256
CN1CC2CCC1C=C2C3=CN=CC=C3,-2.0913335
C1CC(=O)N(C(=O)C1)C(=O)C2=CC3=CC=CC=C3C=C2,-1.8980631
C1(C(NC(=O)NC1=O)NO)F,-1.899322
CC(COCC(CO)(COCC(C)O)COCC(C)O)O,-1.7924459
C1=CC=C(C=C1)CCC2C3=CC=CC=C3C(=O)NC2=O,-2.3235256
CC(COC)OCCOC,-0.8905802
CCCCN(C)CCNC,-1.7868896
C=CC=C(C1=CC=NC=C1)C2=CC=NC=C2,-2.214041
CC1=NC(=CC=C1)C(=O)OCCCC(F)(F)F,-1.3279336
CCCCCCCCCCOC(=O)C1=NC(=CC=C1)C(=O)OC(C)CCCCCC,-1.6343301
CN(C)C(C1=CC=CC=C1)C2=CN=CC=C2,-2.1963168
C1C=C(N=C1CCC2=CN=CC=C2)C=N,-2.5152742
C1=NC(=O)NC(=O)O1,-1.219042
C1C=CCC2=C1C=CN=C2C3=CC=CC=C3,-1.6267224
CN1CCC(CC1)C(C2=CC=C(C=C2)F)C3=CN=CC=C3,-2.1898729
CCCCCCOC(=O)C1=NC(=CC=C1)C(=O)OCCC(CCCC)CCOC,-1.9770002
CCCCCC1=C(C=CC=N1)C,-1.113663
CCCCNCCN(C)C,-1.7652378
CCC(C)C(C=CC)C1CC(=C(C=C1C2=CC=CC=N2)C)F,-2.4529971
CNCCNCCCN(C)CCN,-0.4947579
C1(=NNC(=S)NC1=S)N,-3.9488265
CCOC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.7029928
CCC(OCCC(F)(F)F)(F)F,-0.6529035
CC(C(OCC(F)(F)F)(F)F)(C(F)(F)F)F,-0.6910919
CCOC(=O)C1=CC(=CC(=N1)C(=O)OCC)Br,-1.5644707
C1=C(NC(=S)NC1=O)C=O,-2.3072905
CC(C)(C)OC(=O)CC1=NC(=CC=C1)C(=O)OC,-1.5353005
C(C(C(COCF)(F)F)F)F,-0.8562425
C(C(F)F)(C(F)F)OC(C(F)F)C(F)F,-0.5401382
CC(C)COC(=O)C1=CC=CC(=N1)C(=O)OCCCC2=CC=CC=C2,-2.1182826
CC1=NC=C(C=C1)S,-1.2629012
CN(CCCN(C)CCN)CCN,-1.5001752
CC(C)C1CCN(CC1)C(C)CCCC2=CC=NC=C2,-1.9954759
CN1CCC(CC1)C2=NC=C(C=C2)C(F)(F)F,-1.8226347
C1C=CC=C(S)N=1,-1.414636
CN(C)C=C(CC1=CC=C(C=C1)F)C2=CC=NC=C2,-2.0373098
C1=C(NC(NC1=O)N)N,-2.2106045
CCC1=CC=C(C=C1)NC2=CC=C(C=C2)N=C3C=CC(=NCC)C=C3,-3.0370005
CCCC(C)OC(=O)C1=NC(=CC=C1)F,-1.158943
CC(C)C(C)(C)N1C(=O)C2=CC=CC3=C2C(=CC=C3)C1=O,-0.8346408
CC(COCCO)O,-1.0920164
C1CCN(CC1)CC2=CN=CC=C2,-1.4387544
C(C(F)(F)F)OC(C(CF)(C(F)(F)F)F)(F)F,-0.7523241
CC1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)C(=O)C,-1.8039196
CCOC(C)COC(C)COC(C)CO,-1.3546765
CC1=CC(C(CC1=O)O)O,-0.9601369
CC(=CCC1=CC=CC(=N1)CCCCC2=CN=CC=C2)C,-2.4483264
C1=NC(=S)NC(=C1F)N,-2.1941133
CC(C)C(CCC1=CN=CC=C1)F,-1.5714779
C(C(OC(C(C(CF)(F)F)(F)F)(F)F)F)F,-0.6525826
CC1=NC=C(C=C1)C2CC=NC=C2,-1.9711746
CCCOC1(OCC(O1)C)OCC,-1.7477034
CCCCCCCCCCOC(=O)C1=NC(=CC=C1)C(=O)OCC(C)CC,-2.3837842
CCCNCCN(C)CCCN(C)C,-2.2637989
C1=CC(=C(N=C1)S(F)(F)(F)(F)F)F,-0.9121131
C1CC=C(C=C1)C2=NC=C(C=C2)CN3CCC(C(C3)F)CC#N,-2.7538596
CCCCCCCCCCOC(=O)C1=CC=CC(=N1)C(=O)O,-1.8863584
CCC1=NC(=CC=C1)C(=O)OC,-1.3273315
CN(C)C1=CC=C(C=C1)C(=NC2=CC=CC=C2)C3=CC=CC=C3,-3.0854261
C1=C(N=C(NC1=O)N)O,-1.8504118
C1CC(CNC1)CC2=CN=CC=C2,-2.1610412
C1COC(CN1)(F)F,-0.9620934
COC(=O)NC(=S)C1=CC=CC=N1,-3.349311
C1CN2CCC1CC2CC3=CN=C(C=C3)F,-1.626363
CCCCCOC(=O)C1=NC(=CC=C1)C(=O)OCC(CCCC)CCOC,-2.3294104
CCC(CC)C1=CN=CC=C1,-1.3917074
C1=CC=C(C=C1)C2=CN=C(C=C2)F,-1.4534276
CCCCOC(=O)C1=C(C=CC(=N1)CC#N)N,-2.1262768
C1(C(NC(=O)NC1=O)O)F,-1.2257127
CN1CCCNCCCNCCNCCC1,-2.048867
CCCCCCCCN1C(=O)C2=CC=CC3=C2C(=C(C=C3)C4=CC=CC=C4)C1=O,-2.5872869
C1CC(CC2=CC=CC=C2C1)C3=CN=CC=C3,-1.8333587
CC1=CC2=NC3=C(C=C(C=C3)N)N=C2C=C1N,-2.1717829
CC1=C(CN(CC1)CC2=CC=CC=C2)C3=CC=C(C=C3)NC,-3.0887382
CN(C)CC#CC#CCN1CCCCC1,-1.1808528
CC1=CC(=O)N(C(=S)N1)C,-2.1428271
CCCNCCNCCC,-1.597096
CN(CC1=CC=CC=C1)C(C2CCCC=C2)C3=CC=CC=N3,-2.1655938
CN(C)CCN1CCCNCCNCCCNCC1,-1.1071898
CC1=CC2=C(C=C1C)NC3=C(N2)C=C4C(=C3)N=C5C=C(C(=CC5=N4)C)C,-1.9896483
C1CC(=O)C(=O)C(C1O)O,-1.0077732
C(C(COC(CC(F)(F)F)(F)F)(F)F)C(F)(F)F,-0.8414218
CN1CCC(=CC1)C2=NC=CC(=C2)C(F)(F)F,-1.6076079
CCC(CC1=C(C(=NC=C1)C=C)C=C)N2CCCC(C2)C=C,-2.4593707
CC(C)C1=CN=C(C=C1)C2CCN(CC2)C(C)C,-1.960197
CCC(COCC(COC)O)O,-1.054541
COCC(COCC(CO)O)OC,-1.3029093
CC1=CC(=CC(=C1)C2=CC=CC=N2)C3=CC=CC=N3,-2.1486434
CCCOCC(C(F)(F)F)F,-0.7030213
C1=CC=C(C=C1)C2=NC=CC(=C2)C3=CC(=NC=C3)C4=CC=CC=C4,-2.7583596
CCCNCCCNCCNCCC,-0.5970982
CC(C)CC(CC(C)C)C1=CN=CC=C1,-1.8197967
CCCNCCNCCNCCNCCC,-0.5645803
CC1COC(O1)OC,-1.1911828
CCOC(=O)C1=CC=CC(=N1)COCC2=CC=CC=C2,-1.9773519
CC1=CN=C(C=C1)C2=C(N=C(C=C2)C(F)(F)F)C(F)(F)F,-1.3457501
CCOC(=O)CC(N(F)F)(N(F)F)F,-0.7129163
CC(=C(CC1=CC=CC=C1)C2=CC=NC=C2)C3=CC=NC=C3,-2.5965764
C1=C(N=C(NC1=O)C(=O)O)N,-1.9785509
[CH]N1CCC(CC1)C2=CN=C(C=C2)F,-2.5323733
C1COCO1,-0.9218133
CC(C)OCC(C)OCC(C)O,-1.2119771
C(COC(C(C(F)(F)F)F)(F)F)CF,-0.5731613
C1=CC=C(C=C1)C2=CC(=NC=C2F)F,-1.3673586
CC1=CC(=C2C(=C1)SC3=NN=CN23)C,-1.9590176
C1CCN(CC1)CCC2=CC=NC=C2,-1.4846684
