smiles,D
CNCCNCCCNCCN,3.85 
CSSC1=CN=CC=C1,8.54 
CC1C(CCC(=O)N1)O,5.15 
CCC(CO)OCC(CC)O,5.08 
CN(C)CCC1C2=CC=CC=C2C=CC3=C1N=CC=C3,3.51 
CC(C(C)OC(C)(C(C)O)O)O,5.35 
CC1=CN=C(C=C1)C(C)C2CCN(CC2)CCF,3.07 
C1CC2=CC3=C(C=C2NC1)N=C(C(=N3)C4=CC=CC=C4)C5=CC=CC=C5,2.70 
CC(C)(C)N=C(CCC1=CC=C(C=C1)N(C)C)C2=CC=CC=C2,2.62 
CCCCCC1=CC2=C(C=C1)C(=O)NC(=O)C2C,3.00 
CNCCCNC(CNC)CNC,3.14 
CC1=NC2=CC=CC=C2C1=C(C3=CC=C(C=C3)NC)C4=CC=C(C=C4)NC,2.65 
CC1CCCC(C1)CC2=CC=NC=C2,4.61 
CC(C(COC(C(F)F)(F)F)(F)F)F,4.88 
CCN=C1C=CC(=C(C2=CC=CC=C2)C3=CC=C(C=C3)N(C)C)C=C1,1.65 
CCCCCCCCCCC1=C2C3=C(C=CC=C3C(=O)NC2=O)C=C1,2.97 
CC1CNCCNCCCNCCNC1,2.50 
C1CCN(CC1)CCN2C(=O)C3=CC=CC4=CC5=CC=CC=C5C(=C43)C2=O,3.18 
CCN(CC)C1=CC2=C(C=C1)N=C3C(=N2)C=CC4=CC=CC=C43,3.20 
CC(C)C1=C(C=C(C=N1)C2=CC=CC=N2)F,4.78 
CC(C1=CN=CC=C1)C(C)C2=CN=C(C=C2)C(F)(F)F,4.91 
CCCCCC(CCC1CCCO1)NC,3.32 
CC1=NC=C(C=C1)C2CCN(CC2)C(=C)C(C)C,3.87 
COC(=O)C1=CC=CC(=N1)CN,5.93 
C1=CC2=C(C=CC3=C2C(=C1)C(=O)NC3=O)C(=O)C4=C5C=CC=C6C5=C(C=C4)C(=O)NC6=O,2.65 
CC1=NC=CC(=C1)C2=CC=CCC2=C,5.49 
CCC(C)(C1=CC=CC=N1)F,6.68 
CN1C2CCC1CC(C2)C3=NC=C(C=C3)C4=CC=C(C=C4)F,2.59 
CC1CC=NC=C1C2=CN=CC=C2,6.52 
CC1=CC=C(C=C1)C(=O)NC(=O)C2=CC3=C(CCNC3)C=C2,3.30 
CCCCOC(=O)C1=NC(=CC=C1)C(=O)OC(C)C,3.89 
CN1CC=C2C=CC3=C(C2=C1)N=CC=C3,4.18 
CC1CNC(CNC(CN(C(CN1)C)C)C)C,4.31 
CCCCCCC(C)NCCCC1CCCO1,3.99 
CCC(COC(C)C(C)O)O,4.59 
C1CC=NC(=C1)SSC2=CC=CC=N2,4.17 
CCCC1=CN=C(C=C1)C(C)CC,4.88 
CSC1=NC=C(C=C1)S,6.82 
CN1C(=O)C2=C3C(=C(C=C2)C4=CC=CC5=CC=CC=C54)C=CC=C3C1=O,4.12 
CC(=C)C(=C)OC(=O)C,5.82 
CCOC(=O)C1=CC=CC(=N1)C(=O)C(=O)N(C)C,4.08 
CCCCCCOC(=O)C1=NC(=CC=C1)C(=O)OC(C)CCC,2.79 
CCN(CCOC)CO,4.93 
CN1C(=O)C2=CC(=C3C4=C5C(=CC=C6C5=C(C=C4)C(=O)NC6=O)C7=C(C=C(C2=C37)C1=O)F)F,3.83 
CC1(CC(NC(=S)N1)(C)O)C,4.88 
